feature,mean_abs_shap_value
Volume_S,18.068583809943185
VD_ID_VLRJX00,10.960977874145128
VD_ID_VLRJX20,10.273394922022037
Volume_L,9.130902006676754
VD_ID_VLRJM60,6.239713526993131
Speed_L,5.789781529430785
Speed_S,1.0187259583051684
Speed,0.9490524495736073
IsPeakHour,0.3874041087636886
Occupancy,0.27910912304636726
Minute,0.25266230456722344
DayOfWeek,0.24665512444211182
LaneID,0.21323427800741443
Hour,0.17173260928165138
Volume_M,0.1666096284675657
Speed_M,0.1304315913227888
LaneType,0.0
Speed_T,0.0
Volume_T,0.0
Second,0.0
